Codigo Nacional,Nombre,Lat,Lon,Ubicacion,Latitud,Longitud,Distancia_km
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Illapel,-31.6333,-71.1667,1040.36
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región del Bíobío,-37.45,-72.3,1694.3
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Valle de Camiña,-19.3167,-69.5333,359.96
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Hijuelas,-32.8,-71.15,1166.8
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Colchagua,-34.58,-70.99,1358.88
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Los Andes,-32.8333,-70.6,1161.4
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Llanquihue,-41.25,-73.0,2120.2
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Maipo,-33.6667,-70.75,1255.12
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Cachapoal,-34.3,-70.9,1326.83
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de Los Lagos,-41.5,-73.0,2147.43
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Arauco,-37.25,-73.3333,1694.7
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Llay Llay,-32.85,-70.9333,1168.41
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Angol,-37.8,-72.7,1739.97
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia del Biobío,-37.5,-71.9,1692.81
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Ñuble,-36.6,-72.1,1598.16
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Ovalle-Copiapó,-30.6,-71.2,929.59
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Valle de Huasco,-28.5,-71.2,706.37
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Pan de Azúcar,-29.8,-71.25,845.27
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,La Ligua,-32.45,-71.23,1130.27
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Calama,-22.4667,-68.9333,5.45
